Title,Domain,Difficulty,GitHub Link,YouTube Link,Technologies,Description
Graph-Based Project Recommender,SNA,Advanced,https://github.com/chandan-u/graph-based-recommendation-system,https://www.youtube.com/watch?v=QVfkodRSEE8,Neo4j,Recommends projects based on graph analysis.
AI-Powered Interview Preparation,AI,Intermediate,https://github.com/Suraj12398/TechProbe,https://www.youtube.com/watch?v=VNfmAV0BzFI,TensorFlow,Prepares users for technical interviews.
Secure Chat App with Encryption,Cybersecurity,Advanced,https://github.com/tejaspradhan/End-To-End-Encrypted-Secure-Chat-Application,https://www.youtube.com/watch?v=aBtZ-eIg8Yg,RSA,A secure chat application with encryption.
Resume Parser with NLP,NLP,Intermediate,https://github.com/Deep4GB/Resume-NLP-Parser,https://www.youtube.com/watch?v=NoPS2YruQ1Y,NLTK,Parses resumes using NLP.
Credit Card Fraud Detection,ML,Advanced,https://github.com/shakiliitju/Credit-Card-Fraud-Detection-Using-Machine-Learning,https://www.youtube.com/watch?v=7Euz1XbPDOc,scikit-learn,Detects credit card fraud.
Personal Budget Tracker,Web Development,Beginner,https://github.com/neeraj542/Personal-Finance-Tracker,https://www.youtube.com/watch?v=e0oQ5N_rYU4,React,Tracks personal finances.
Image Caption Generator,CVIP,Advanced,https://github.com/MiteshPuthran/Image-Caption-Generator,https://www.youtube.com/watch?v=8PzcmL9d3zM,TensorFlow,Generates image captions.
Real-Time Traffic Sign Detection,CVIP,Intermediate,https://github.com/hoanglehaithanh/Traffic-Sign-Detection,https://www.youtube.com/watch?v=eS8sE1M9dks,TensorFlow,Detects traffic signs in real-time.
LinkedIn Connection Analyzer,SNA,Intermediate,https://github.com/chawla201/LinkedIn-Connections-Analyzer,https://www.youtube.com/watch?v=SQtwhuYJk3M,NetworkX,Analyzes LinkedIn connections.
Movie Recommendation System,ML,Intermediate,https://github.com/entbappy/Movie-Recommender-System-Using-Machine-Learning,https://www.youtube.com/watch?v=lXcO3y_YGOM,scikit-learn,Recommends movies.
Browser-based Code Editor,Web Development,Advanced,https://github.com/microsoft/monaco-editor,https://www.youtube.com/watch?v=THgBePRV13o,React,A browser-based code editor.
AI Dungeon Game,AI,Advanced,https://gist.github.com/aaronsteers/f4c072058a3317ee3904f713b1e4b6cb,https://www.youtube.com/watch?v=56HJaq8VXRE,GPT-3,A text-based adventure game.
Secure File Vault,Cybersecurity,Intermediate,https://github.com/DasariJayanth/secure-vault,https://www.youtube.com/watch?v=uRdX37EcCwg,Cryptography,A secure file storage system.
Twitter Sentiment Tracker,NLP,Intermediate,https://github.com/hmabubakar313/sentiment-tracker,https://www.youtube.com/watch?v=QpzMWQvxXWk,NLTK,Tracks Twitter sentiment.
Loan Approval Predictor,ML,Beginner,https://github.com/audhiaprilliant/loan-approval-prediction,https://www.youtube.com/watch?v=x2NhPeHSPU0,scikit-learn,Predicts loan approval.
Social Graph Explorer,SNA,Beginner,https://github.com/gvolpe/social-graph-api,https://www.youtube.com/watch?v=to4uTxSNo6Q,NetworkX,Explores social graphs.
AI-based Email Classifier,AI,Intermediate,https://github.com/SimarjotKaur/Email-Classifier,https://www.youtube.com/watch?v=EKWcbW7O0ZA,scikit-learn,Classifies emails.
Online Quiz Platform,Web Development,Intermediate,https://github.com/akhil11naseem/Online-Quiz-Platform,https://www.youtube.com/watch?v=IkncPVQMFo8,Django,An online quiz platform.
Attendance Tracker with RFID,CVIP,Beginner,https://github.com/lily-osp/RFID-Attendance-System,https://www.youtube.com/watch?v=B4yrRoj2hIM,OpenCV,Tracks attendance using RFID.
Voice-controlled Home Automation,AI,Advanced,https://github.com/4vedi/VOICE-CONTROLLED-HOME-AUTOMATION,https://www.youtube.com/watch?v=ZFXhvy01SE4,TensorFlow,Controls home appliances.
Deepfake Video Detector,Cybersecurity,Advanced,https://github.com/abhijithjadhav/Deepfake_detection_using_deep_learning,https://www.youtube.com/watch?v=H1tkxaMC1ZA,TensorFlow,Detects deepfakes.
Language Translator App,NLP,Advanced,https://github.com/niedev/RTranslator,https://m.youtube.com/watch?v=nh0jT9od2AY,Transformers,Translates text.
Face Swap App,CVIP,Intermediate,https://github.com/iperov/DeepFaceLive,https://www.youtube.com/watch?v=YV1PeHRETEo,TensorFlow,Swaps faces.
GitHub Issue Summarizer,NLP,Advanced,https://github.com/topics/summarizer,https://www.youtube.com/watch?v=p7V4Aa7qEpw,BERT,Summarizes GitHub issues.
Data Breach Alert System,Cybersecurity,Advanced,https://github.com/privacypatterns/patterns/blob/master/patterns/Data-breach-notification-pattern.md,https://www.youtube.com/watch?v=38k7ItSLy18,PostgreSQL,Alerts about data breaches.
AI Tutor for Coding,AI,Intermediate,https://github.com/techwithtim/AI-Coding-Tutor,https://www.youtube.com/watch?v=d4okkiNZYY8,GPT-3,Teaches coding.
Bug Tracker Dashboard,Web Development,Advanced,https://github.com/yousefkotp/Bug-Tracker,https://www.youtube.com/watch?v=Lw5Y-HUUDAg,React,Tracks bugs.
Social Network Visualizer,SNA,Intermediate,https://github.com/socnetv/app,https://www.youtube.com/watch?v=ti-98tIzfEk,NetworkX,Visualizes social networks.
Fake News Detection,ML,Advanced,https://github.com/kapilsinghnegi/Fake-News-Detection,https://www.youtube.com/watch?v=U6ieiJAhXQ4,NLTK,Detects fake news.
Blog Website with Admin Panel,Web Development,Intermediate,https://github.com/Underemployed/PHP-MySQL-Blog-Website-with-Admin-Panel,https://www.youtube.com/watch?v=dgfHwfC6bWE,Django,A blog website with an admin panel.
CV Scanner for Job Matching,AI,Advanced,https://github.com/kanishksh4rma/Resume-Scanner-for-Job-Description--using-Cosine-Similarity,https://www.youtube.com/watch?v=bkigzpBLN6o,scikit-learn,Scans resumes for job matching.
